,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year,General_Position
1606,Kevin Lasagna,Centre-Forward,28,7000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Hellas Verona,150000,2020,Attack
1607,Tomás Tavares,Right-Back,19,7000000,Portugal,Others,SL Benfica,Spain,LaLiga,Deportivo Alavés,0,2020,Defense
1608,Mattia De Sciglio,Right-Back,27,7000000,Italy,Serie A,Juventus FC,France,Ligue 1,Olympique Lyon,0,2020,Defense
1609,José Callejón,Right Winger,33,7000000,Italy,Serie A,SSC Napoli,Italy,Serie A,ACF Fiorentina,0,2020,Attack
1610,Nehuén Pérez,Centre-Back,20,7000000,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Granada CF,0,2020,Defense
1611,Gregor Kobel,Goalkeeper,22,4000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,VfB Stuttgart,7000000,2020,Goalkeeper
1612,Leonardo Balerdi,Centre-Back,21,7000000,Germany,Bundesliga,Borussia Dortmund,France,Ligue 1,Olympique Marseille,1000000,2020,Defense
1613,Oliver Skipp,Defensive Midfield,19,7000000,England,Premier League,Tottenham Hotspur,England,Others,Norwich City,0,2020,Midfield
1614,Morgan Gibbs-White,Attacking Midfield,20,7000000,England,Premier League,Wolverhampton Wanderers,Wales,Others,Swansea City,0,2020,Midfield
1615,Francesco Cassata,Central Midfield,23,2000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Genoa CFC,7000000,2020,Midfield
1616,Felix Uduokhai,Centre-Back,22,6000000,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,FC Augsburg,7000000,2020,Defense
1617,Simone Muratore,Central Midfield,22,500000,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,7000000,2020,Midfield
1618,Amine Gouiri,Centre-Forward,20,4000000,France,Ligue 1,Olympique Lyon,France,Ligue 1,OGC Nice,7000000,2020,Attack
1619,Leonardo Bittencourt,Attacking Midfield,26,4000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,SV Werder Bremen,7000000,2020,Midfield
1620,Jordan Lotomba,Right-Back,21,4000000,Switzerland,Others,BSC Young Boys,France,Ligue 1,OGC Nice,7000000,2020,Defense
1621,Alexander Schwolow,Goalkeeper,28,7000000,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Hertha BSC,7000000,2020,Goalkeeper
1622,Ciro Palmieri,Second Striker,20,75000,Italy,Others,Napoli Primavera,France,Others,LOSC Lille B,7000000,2020,Attack
1623,Ondrej Duda,Attacking Midfield,25,7000000,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,1. FC Köln,7000000,2020,Midfield
1624,Sebastian Andersson,Centre-Forward,29,7000000,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,1. FC Köln,6000000,2020,Attack
1625,Pedro Gonçalves,Left Winger,22,7000000,Portugal,Others,FC Famalicão,Portugal,Others,Sporting CP,6000000,2020,Attack
1626,Simon Kjaer,Centre-Back,31,7000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,AC Milan,3000000,2020,Defense
1627,Luciano Vietto,Centre-Forward,26,7000000,Portugal,Others,Sporting CP,Saudi Arabia,Others,Al-Hilal Saudi FC,3000000,2020,Attack
1628,Toni Martínez,Centre-Forward,23,7000000,Portugal,Others,FC Famalicão,Portugal,Others,FC Porto,3000000,2020,Attack
1629,Mijat Gacinovic,Attacking Midfield,25,7000000,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,TSG 1899 Hoffenheim,3000000,2020,Midfield
1630,Kaan Ayhan,Centre-Back,25,7000000,Germany,Others,Fortuna Düsseldorf,Italy,Serie A,US Sassuolo,2000000,2020,Defense
1631,Ola Aina,Right-Back,23,7000000,Italy,Serie A,Torino FC,England,Premier League,Fulham FC,2000000,2020,Defense
1632,Javi Ontiveros,Left Winger,23,7000000,Spain,LaLiga,Villarreal CF,Spain,LaLiga,SD Huesca,650000,2020,Attack
1633,Éver Banega,Central Midfield,32,7000000,Spain,LaLiga,Sevilla FC,Saudi Arabia,Others,Al-Shabab Club (Riyadh),0,2020,Midfield
1634,Alfie Mawson,Centre-Back,26,7000000,England,Premier League,Fulham FC,England,Others,Bristol City,0,2020,Defense
1635,Giacomo Bonaventura,Central Midfield,31,7000000,Italy,Serie A,AC Milan,Italy,Serie A,ACF Fiorentina,0,2020,Midfield
1636,Fábio Martins,Left Winger,27,7000000,Portugal,Others,SC Braga,Saudi Arabia,Others,Al-Shabab Club (Riyadh),0,2020,Attack
1637,Filip Benkovic,Centre-Back,23,7000000,England,Premier League,Leicester City,Wales,Others,Cardiff City,0,2020,Defense
1638,Andrea Conti,Right-Back,26,7000000,Italy,Serie A,AC Milan,Italy,Serie A,Parma Calcio 1913,0,2020,Defense
1639,Danny da Costa,Right-Back,27,7000000,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,0,2020,Defense
1640,Kévin Malcuit,Right-Back,29,7000000,Italy,Serie A,SSC Napoli,Italy,Serie A,ACF Fiorentina,0,2020,Defense
1641,Facundo Pellistri,Right Winger,19,7000000,England,Premier League,Manchester United,Spain,LaLiga,Deportivo Alavés,0,2020,Attack
1642,Ferro,Centre-Back,23,7000000,Portugal,Others,SL Benfica,Spain,LaLiga,Valencia CF,0,2020,Defense
1643,Cenk Tosun,Centre-Forward,29,7000000,England,Premier League,Everton FC,Turkey,Others,Besiktas JK,0,2020,Attack
1644,Jonjoe Kenny,Right-Back,23,7000000,England,Premier League,Everton FC,Scotland,Others,Celtic FC,0,2020,Defense
1645,Bruno Viana,Centre-Back,26,7000000,Portugal,Others,SC Braga,Brazil,Others,CR Flamengo,0,2020,Defense
1646,Taison,Left Winger,33,7000000,Ukraine,Others,Shakhtar Donetsk,Brazil,Others,Sport Club Internacional,0,2020,Attack
1647,Maxime Busi,Right-Back,20,2000000,Belgium,Others,RSC Charleroi,Italy,Serie A,Parma Calcio 1913,6000000,2020,Defense
1648,Dominik Kohr,Central Midfield,26,6000000,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,0,2020,Midfield
1649,Mikkel Damsgaard,Left Winger,20,6000000,Denmark,Others,FC Nordsjaelland,Italy,Serie A,UC Sampdoria,6000000,2020,Attack
1650,Nahuel Bustos,Centre-Forward,22,6000000,Argentina,Others,Club Atlético Talleres,England,Premier League,Manchester City,6000000,2020,Attack
1651,Javi Montero,Centre-Back,21,6000000,Spain,LaLiga,Atlético de Madrid,Turkey,Others,Besiktas JK,500000,2020,Defense
1652,Cucho Hernández,Centre-Forward,21,6000000,England,Others,Watford FC,Spain,LaLiga,Getafe CF,0,2020,Attack
1653,Moussa Wagué,Right-Back,21,6000000,Spain,LaLiga,FC Barcelona,Greece,Others,PAOK Thessaloniki,0,2020,Defense
1654,Nahuel Bustos,Centre-Forward,22,6000000,England,Premier League,Manchester City,Spain,Others,Girona FC,0,2020,Attack
1655,Illan Meslier,Goalkeeper,20,4000000,France,Ligue 1,FC Lorient,England,Premier League,Leeds United,6000000,2020,Goalkeeper
1656,Harrison Reed,Central Midfield,25,2000000,England,Premier League,Southampton FC,England,Premier League,Fulham FC,6000000,2020,Midfield
1657,Oliver Burke,Centre-Forward,23,4000000,England,Premier League,West Bromwich Albion,England,Premier League,Sheffield United,6000000,2020,Attack
1658,Lucas Veríssimo,Centre-Back,25,4000000,Brazil,Others,Santos FC,Portugal,Others,SL Benfica,6000000,2020,Defense
1659,Antonio Sanabria,Centre-Forward,24,6000000,Spain,LaLiga,Real Betis Balompié,Italy,Serie A,Torino FC,6000000,2020,Attack
1660,Lucas Robertone,Central Midfield,23,6000000,Argentina,Others,CA Vélez Sarsfield,Spain,Others,UD Almería,6000000,2020,Midfield
1661,Moses Simon,Left Winger,24,6000000,Spain,LaLiga,Levante UD,France,Ligue 1,FC Nantes,5000000,2020,Attack
1662,Steve Mounié,Centre-Forward,25,6000000,England,Others,Huddersfield Town,France,Ligue 1,Stade Brestois 29,5000000,2020,Attack
1663,Terence Kongolo,Centre-Back,26,6000000,England,Others,Huddersfield Town,England,Premier League,Fulham FC,4000000,2020,Defense
1664,Álvaro González,Centre-Back,30,6000000,Spain,LaLiga,Villarreal CF,France,Ligue 1,Olympique Marseille,4000000,2020,Defense
1665,Gianluca Caprari,Second Striker,27,6000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Benevento Calcio,1000000,2020,Attack
1666,Wesley Hoedt,Centre-Back,26,6000000,England,Premier League,Southampton FC,Italy,Serie A,SS Lazio,1000000,2020,Defense
1667,Jony,Left Winger,29,6000000,Italy,Serie A,SS Lazio,Spain,LaLiga,CA Osasuna,900000,2020,Attack
1668,Ronaldo Vieira,Central Midfield,22,6000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,750000,2020,Midfield
1669,Uros Spajic,Centre-Back,27,6000000,Russia,Others,FK Krasnodar,Netherlands,Others,Feyenoord Rotterdam,500000,2020,Defense
1670,Salomón Rondón,Centre-Forward,31,6000000,China,Others,Dalian Professional,Russia,Others,CSKA Moscow,500000,2020,Attack
1671,Benik Afobe,Centre-Forward,27,6000000,England,Others,Stoke City,Turkey,Others,Trabzonspor,100000,2020,Attack
1672,Robin Knoche,Centre-Back,28,6000000,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,1.FC Union Berlin,0,2020,Defense
1673,Martín Montoya,Right-Back,29,6000000,England,Premier League,Brighton & Hove Albion,Spain,LaLiga,Real Betis Balompié,0,2020,Defense
1674,Youssouf Koné,Left-Back,25,6000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Elche CF,0,2020,Defense
1675,Marius Wolf,Right-Back,25,6000000,Germany,Bundesliga,Borussia Dortmund,Germany,Bundesliga,1. FC Köln,0,2020,Defense
1676,Matteo Darmian,Right-Back,30,6000000,Italy,Serie A,Parma Calcio 1913,Italy,Serie A,Inter Milan,0,2020,Defense
1677,Ignacio Pussetto,Right Winger,24,6000000,England,Others,Watford FC,Italy,Serie A,Udinese Calcio,0,2020,Attack
1678,Bruma,Left Winger,25,6000000,Netherlands,Others,PSV Eindhoven,Greece,Others,Olympiacos Piraeus,0,2020,Attack
1679,Tomás Tavares,Right-Back,19,6000000,Portugal,Others,SL Benfica,Portugal,Others,SC Farense,0,2020,Defense
1680,Filip Krovinovic,Attacking Midfield,25,6000000,Portugal,Others,SL Benfica,England,Others,Nottingham Forest,0,2020,Midfield
1681,Josh Maja,Centre-Forward,22,6000000,France,Ligue 1,FC Girondins Bordeaux,England,Premier League,Fulham FC,0,2020,Attack
1682,Danilo Barbosa,Defensive Midfield,25,6000000,France,Ligue 1,OGC Nice,Brazil,Others,Sociedade Esportiva Palmeiras,0,2020,Midfield
1683,Hernani,Central Midfield,26,5000000,Russia,Others,Zenit St. Petersburg,Italy,Serie A,Parma Calcio 1913,6000000,2020,Midfield
1684,Simon Sohm,Defensive Midfield,19,1000000,Switzerland,Others,FC Zürich,Italy,Serie A,Parma Calcio 1913,6000000,2020,Midfield
1685,Marcelino Moreno,Attacking Midfield,25,4000000,Argentina,Others,Club Atlético Lanús,United States,Others,Atlanta United FC,6000000,2020,Midfield
1686,Stephy Mavididi,Left Winger,22,3000000,Italy,Others,Juventus U23,France,Ligue 1,Montpellier HSC,6000000,2020,Attack
1687,Jayden Bogle,Right-Back,20,6000000,England,Others,Derby County,England,Premier League,Sheffield United,3000000,2020,Defense
1688,Kevin Danso,Centre-Back,21,6000000,Germany,Bundesliga,FC Augsburg,Germany,Others,Fortuna Düsseldorf,500000,2020,Defense
1689,Jan Hurtado,Centre-Forward,20,6000000,Argentina,Others,CA Boca Juniors,Brazil,Others,Red Bull Bragantino,130000,2020,Attack
1690,Tahith Chong,Right Winger,20,6000000,England,Premier League,Manchester United,Germany,Bundesliga,SV Werder Bremen,0,2020,Attack
1691,Ritsu Doan,Right Winger,22,6000000,Netherlands,Others,PSV Eindhoven,Germany,Bundesliga,Arminia Bielefeld,0,2020,Attack
1692,Jean Marcelin,Centre-Back,20,6000000,Monaco,Ligue 1,AS Monaco,Belgium,Others,Cercle Brugge ,0,2020,Defense
1693,Arthur Zagré,Left-Back,19,6000000,Monaco,Ligue 1,AS Monaco,France,Ligue 1,Dijon FCO,0,2020,Defense
1694,Tahith Chong,Right Winger,21,6000000,England,Premier League,Manchester United,Belgium,Others,Club Brugge KV,0,2020,Attack
1695,Yan Valery,Right-Back,21,6000000,England,Premier League,Southampton FC,England,Others,Birmingham City,0,2020,Defense
1696,Yan Couto,Right-Back,18,3000000,Brazil,Others,Coritiba Foot Ball Club,England,Premier League,Manchester City,6000000,2020,Defense
1697,Pablo Marí,Centre-Back,26,4000000,Brazil,Others,CR Flamengo,England,Premier League,Arsenal FC,6000000,2020,Defense
1698,Núrio Fortuna,Left-Back,25,2000000,Belgium,Others,RSC Charleroi,Belgium,Others,KAA Gent,6000000,2020,Defense
1699,Arthur Cabral,Centre-Forward,22,2000000,Brazil,Others,Sociedade Esportiva Palmeiras,Switzerland,Others,FC Basel 1893,6000000,2020,Attack
1700,Ignatius Ganago,Centre-Forward,21,3000000,France,Ligue 1,OGC Nice,France,Ligue 1,RC Lens,6000000,2020,Attack
1701,Jonas Omlin,Goalkeeper,26,4000000,Switzerland,Others,FC Basel 1893,France,Ligue 1,Montpellier HSC,6000000,2020,Goalkeeper
1702,Guilherme,Defensive Midfield,29,4000000,Greece,Others,Olympiacos Piraeus,Qatar,Others,Al-Sadd SC,6000000,2020,Midfield
1703,Vladimir Coufal,Right-Back,28,2000000,Czech Republic,Others,SK Slavia Prague,England,Premier League,West Ham United,6000000,2020,Defense
1704,Michael Olunga,Centre-Forward,26,950000,Japan,Others,Kashiwa Reysol,Qatar,Others,Al-Duhail SC,6000000,2020,Attack
1705,Diego Rosa,Central Midfield,18,6000000,Brazil,Others,Grêmio Foot-Ball Porto Alegrense,England,Premier League,Manchester City,6000000,2020,Midfield
1706,Bruno Praxedes,Central Midfield,19,5000000,Brazil,Others,Sport Club Internacional,Brazil,Others,Red Bull Bragantino,6000000,2020,Midfield
1707,Michal Karbownik,Left-Back,19,6000000,Poland,Others,Legia Warszawa,England,Premier League,Brighton & Hove Albion,5000000,2020,Defense
1708,Nacho Fernández,Attacking Midfield,31,6000000,Argentina,Others,CA River Plate,Brazil,Others,Clube Atlético Mineiro,4000000,2020,Midfield
1709,Luigi Sepe,Goalkeeper,29,6000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Parma Calcio 1913,4000000,2020,Goalkeeper
1710,Shon Weissman,Centre-Forward,24,6000000,Austria,Bundesliga,Wolfsberger AC,Spain,LaLiga,Real Valladolid CF,4000000,2020,Attack
1711,Roger Assalé,Centre-Forward,26,6000000,Switzerland,Others,BSC Young Boys,France,Ligue 1,Dijon FCO,4000000,2020,Attack
1712,Marcel Tisserand,Centre-Back,27,6000000,Germany,Bundesliga,VfL Wolfsburg,Turkey,Others,Fenerbahce,4000000,2020,Defense
1713,Niklas Dorsch,Defensive Midfield,22,6000000,Germany,Others,1.FC Heidenheim 1846,Belgium,Others,KAA Gent,3000000,2020,Midfield
1714,Adrien Hunou,Centre-Forward,27,6000000,France,Ligue 1,Stade Rennais FC,United States,Others,Minnesota United FC,3000000,2020,Attack
1715,Dimitrios Giannoulis,Left-Back,25,6000000,Greece,Others,PAOK Thessaloniki,England,Others,Norwich City,1000000,2020,Defense
1716,Henry Onyekuru,Left Winger,23,6000000,Monaco,Ligue 1,AS Monaco,Turkey,Others,Galatasaray,650000,2020,Attack
1717,Viktor Kovalenko,Attacking Midfield,24,6000000,Ukraine,Others,Shakhtar Donetsk,Italy,Serie A,Atalanta BC,600000,2020,Midfield
1718,Iago Falque,Right Winger,30,6000000,Italy,Serie A,Torino FC,Italy,Serie A,Benevento Calcio,500000,2020,Attack
1719,Lucas Olaza,Left-Back,26,6000000,Argentina,Others,CA Boca Juniors,Spain,LaLiga,Real Valladolid CF,500000,2020,Defense
1720,Victor Moses,Right Midfield,29,6000000,England,Premier League,Chelsea FC,Russia,Others,Spartak Moscow,300000,2020,Midfield
1721,Bryan Reynolds,Right-Back,19,6000000,United States,Others,FC Dallas,Italy,Serie A,AS Roma,100000,2020,Defense
1722,Aleksandr Kokorin,Centre-Forward,29,6000000,Russia,Others,Zenit St. Petersburg,Russia,Others,Spartak Moscow,0,2020,Attack
1723,Omar Elabdellaoui,Right-Back,28,6000000,Greece,Others,Olympiacos Piraeus,Turkey,Others,Galatasaray,0,2020,Defense
1724,Jesús Vallejo,Centre-Back,23,6000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Granada CF,0,2020,Defense
1725,Cristiano Piccini,Centre-Back,27,6000000,Spain,LaLiga,Valencia CF,Italy,Serie A,Atalanta BC,0,2020,Defense
1726,Jonathan Calleri,Centre-Forward,26,6000000,Uruguay,Others,Club Deportivo Maldonado,Spain,LaLiga,CA Osasuna,0,2020,Attack
1727,Yann M'Vila,Defensive Midfield,30,6000000,France,Ligue 1,AS Saint-Étienne,Greece,Others,Olympiacos Piraeus,0,2020,Midfield
1728,Badou Ndiaye,Central Midfield,29,6000000,England,Others,Stoke City,Turkey,Others,Fatih Karagümrük,0,2020,Midfield
1729,Michal Karbownik,Left-Back,19,6000000,England,Premier League,Brighton & Hove Albion,Poland,Others,Legia Warszawa,0,2020,Defense
1730,Radja Nainggolan,Central Midfield,32,6000000,Italy,Serie A,Inter Milan,Italy,Serie A,Cagliari Calcio,0,2020,Midfield
1731,Manu Sánchez,Left-Back,20,6000000,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,CA Osasuna,0,2020,Defense
1732,Conor Hourihane,Central Midfield,29,6000000,England,Premier League,Aston Villa,Wales,Others,Swansea City,0,2020,Midfield
1733,László Bénes,Central Midfield,23,6000000,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,FC Augsburg,0,2020,Midfield
1734,Marcos Rojo,Centre-Back,30,6000000,England,Premier League,Manchester United,Argentina,Others,CA Boca Juniors,0,2020,Defense
1735,Jean-Kévin Augustin,Centre-Forward,23,6000000,England,Premier League,Leeds United,France,Ligue 1,FC Nantes,0,2020,Attack
1736,Giuseppe Pezzella,Left-Back,22,3000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Parma Calcio 1913,5000000,2020,Defense
1737,Ivan Toney,Centre-Forward,24,400000,England,Others,Peterborough United,England,Others,Brentford FC,5000000,2020,Attack
1738,Albian Ajeti,Centre-Forward,23,4000000,England,Premier League,West Ham United,Scotland,Others,Celtic FC,5000000,2020,Attack
1739,Harry Arter,Central Midfield,30,3000000,England,Others,AFC Bournemouth,England,Others,Nottingham Forest,5000000,2020,Midfield
1740,Waldemar Anton,Centre-Back,24,5000000,Germany,Others,Hannover 96,Germany,Bundesliga,VfB Stuttgart,4000000,2020,Defense
1741,Christophe Hérelle,Centre-Back,27,5000000,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Brestois 29,4000000,2020,Defense
1742,Bas Dost,Centre-Forward,31,5000000,Germany,Bundesliga,Eintracht Frankfurt,Belgium,Others,Club Brugge KV,4000000,2020,Attack
1743,Jordan Hugill,Centre-Forward,28,5000000,England,Premier League,West Ham United,England,Others,Norwich City,3000000,2020,Attack
1744,Kenny Tete,Right-Back,24,5000000,France,Ligue 1,Olympique Lyon,England,Premier League,Fulham FC,3000000,2020,Defense
1745,Nikola Kalinic,Centre-Forward,32,5000000,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Hellas Verona,1000000,2020,Attack
1746,Jeroen Zoet,Goalkeeper,29,5000000,Netherlands,Others,PSV Eindhoven,Italy,Serie A,Spezia Calcio,1000000,2020,Goalkeeper
1747,Pape Cheikh,Central Midfield,22,5000000,France,Ligue 1,Olympique Lyon,France,Ligue 1,Dijon FCO,0,2020,Midfield
1748,Emre Kilinc,Right Winger,25,5000000,Turkey,Others,Sivasspor,Turkey,Others,Galatasaray,0,2020,Attack
1749,Rafael,Right-Back,30,5000000,France,Ligue 1,Olympique Lyon,Turkey,Others,Basaksehir FK,0,2020,Defense
1750,Callum Robinson,Centre-Forward,25,5000000,England,Premier League,Sheffield United,England,Premier League,West Bromwich Albion,0,2020,Attack
1751,Yoshinori Muto,Centre-Forward,28,5000000,England,Premier League,Newcastle United,Spain,LaLiga,SD Eibar,0,2020,Attack
1752,Rachid Ghezzal,Right Winger,28,5000000,England,Premier League,Leicester City,Turkey,Others,Besiktas JK,0,2020,Attack
1753,Ibrahim Amadou,Defensive Midfield,27,5000000,Spain,LaLiga,Sevilla FC,France,Ligue 1,Angers SCO,0,2020,Midfield
1754,Roque Mesa,Central Midfield,31,5000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Real Valladolid CF,0,2020,Midfield
1755,Alexandru Mitrita,Left Winger,25,5000000,United States,Others,New York City FC,Saudi Arabia,Others,Al-Ahli Saudi FC,0,2020,Attack
1756,Danny Welbeck,Centre-Forward,29,5000000,England,Others,Watford FC,England,Premier League,Brighton & Hove Albion,0,2020,Attack
1757,Andraz Sporar,Centre-Forward,26,5000000,Portugal,Others,Sporting CP,Portugal,Others,SC Braga,0,2020,Attack
1758,Frank Acheampong,Left Winger,27,5000000,China,Others,Tianjin Jinmen Tiger,China,Others,Shenzhen FC,0,2020,Attack
1759,Mark McKenzie,Centre-Back,21,4000000,United States,Others,Philadelphia Union,Belgium,Others,KRC Genk,5000000,2020,Defense
1760,Kévin Cabral,Left Winger,21,1000000,France,Others,Valenciennes FC,United States,Others,Los Angeles Galaxy,5000000,2020,Attack
1761,Lincoln,Centre-Forward,20,5000000,Brazil,Others,CR Flamengo,Japan,Others,Vissel Kobe,2000000,2020,Attack
1762,Kevin Rüegg,Right-Back,22,5000000,Switzerland,Others,FC Zürich,Italy,Serie A,Hellas Verona,2000000,2020,Defense
1763,Adil Aouchiche,Attacking Midfield,18,5000000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,AS Saint-Étienne,0,2020,Midfield
1764,Conor Gallagher,Central Midfield,20,5000000,England,Others,Chelsea FC U23,England,Premier League,West Bromwich Albion,0,2020,Midfield
1765,Jack Clarke,Left Winger,20,5000000,England,Premier League,Tottenham Hotspur,England,Others,Stoke City,0,2020,Attack
1766,Tomás Pochettino,Attacking Midfield,25,5000000,Argentina,Others,Club Atlético Talleres,United States,Others,Austin FC,2000000,2020,Midfield
1767,Mërgim Vojvoda,Right-Back,25,4000000,Belgium,Others,Standard Liège,Italy,Serie A,Torino FC,5000000,2020,Defense
1768,Ricardo Goulart,Attacking Midfield,29,5000000,China,Others,Guangzhou FC,China,Others,Hebei FC,2000000,2020,Midfield
1769,Iván Marcone,Defensive Midfield,30,5000000,Argentina,Others,CA Boca Juniors,Spain,LaLiga,Elche CF,500000,2020,Midfield
1770,Eran Zahavi,Centre-Forward,33,5000000,China,Others,Guangzhou City,Netherlands,Others,PSV Eindhoven,0,2020,Attack
1771,Orestis Karnezis,Goalkeeper,35,500000,Italy,Serie A,SSC Napoli,France,Ligue 1,LOSC Lille,5000000,2020,Goalkeeper
1772,Franck Honorat,Right Winger,23,1000000,France,Ligue 1,AS Saint-Étienne,France,Ligue 1,Stade Brestois 29,5000000,2020,Attack
1773,Vasilios Barkas,Goalkeeper,26,2000000,Greece,Others,AEK Athens,Scotland,Others,Celtic FC,5000000,2020,Goalkeeper
1774,Luis Milla,Central Midfield,25,1000000,Spain,Others,CD Tenerife,Spain,LaLiga,Granada CF,5000000,2020,Midfield
1775,Kemar Roofe,Centre-Forward,27,4000000,Belgium,Others,RSC Anderlecht,Scotland,Others,Rangers FC,5000000,2020,Attack
1776,Bartosz Bialek,Centre-Forward,18,3000000,Poland,Others,Zaglebie Lubin,Germany,Bundesliga,VfL Wolfsburg,5000000,2020,Attack
1777,Maxence Lacroix,Centre-Back,20,1000000,France,Others,FC Sochaux-Montbéliard,Germany,Bundesliga,VfL Wolfsburg,5000000,2020,Defense
1778,Ramadan Sobhi,Left Winger,23,3000000,England,Others,Huddersfield Town,Egypt,Premier League,Pyramids FC,5000000,2020,Attack
1779,Loïc Mbe Soh,Centre-Back,19,4000000,France,Others,Paris Saint-Germain B,England,Others,Nottingham Forest,5000000,2020,Defense
1780,Raúl Guti,Central Midfield,23,800000,Spain,Others,Real Zaragoza,Spain,LaLiga,Elche CF,5000000,2020,Midfield
1781,Bruno Tabata,Right Winger,23,4000000,Portugal,Others,Portimonense SC,Portugal,Others,Sporting CP,5000000,2020,Attack
1782,Mattia Bani,Centre-Back,26,3000000,Italy,Serie A,Bologna FC 1909,Italy,Serie A,Genoa CFC,5000000,2020,Defense
1783,Moisés Caicedo,Defensive Midfield,19,5000000,Ecuador,Others,Independiente del Valle,England,Premier League,Brighton & Hove Albion,5000000,2020,Midfield
1784,Carlos González,Centre-Forward,27,5000000,Mexico,Others,UNAM Pumas,Mexico,Others,Tigres UANL,4000000,2020,Attack
1785,Emanuel Reynoso,Attacking Midfield,24,5000000,Argentina,Others,CA Boca Juniors,United States,Others,Minnesota United FC,4000000,2020,Midfield
1786,Gianluca Lapadula,Centre-Forward,30,5000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Benevento Calcio,4000000,2020,Attack
1787,Anastasios Bakasetas,Attacking Midfield,27,5000000,Turkey,Others,Alanyaspor,Turkey,Others,Trabzonspor,3000000,2020,Midfield
1788,Aleksandar Kolarov,Left-Back,34,5000000,Italy,Serie A,AS Roma,Italy,Serie A,Inter Milan,1000000,2020,Defense
1789,Federico Bonazzoli,Centre-Forward,23,5000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Torino FC,1000000,2020,Attack
1790,Filippo Falco,Right Winger,28,5000000,Italy,Others,US Lecce,Serbia,Others,Red Star Belgrade,1000000,2020,Attack
1791,Amer Gojak,Attacking Midfield,23,5000000,Croatia,Others,GNK Dinamo Zagreb,Italy,Serie A,Torino FC,1000000,2020,Midfield
1792,Amin Younes,Left Winger,27,5000000,Italy,Serie A,SSC Napoli,Germany,Bundesliga,Eintracht Frankfurt,750000,2020,Attack
1793,Pape Abou Cissé,Centre-Back,25,5000000,Greece,Others,Olympiacos Piraeus,France,Ligue 1,AS Saint-Étienne,700000,2020,Defense
1794,Soualiho Meïté,Central Midfield,26,5000000,Italy,Serie A,Torino FC,Italy,Serie A,AC Milan,500000,2020,Midfield
1795,Chris Richards,Centre-Back,20,5000000,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,TSG 1899 Hoffenheim,250000,2020,Defense
1796,Vitinha,Central Midfield,20,5000000,Portugal,Others,FC Porto,England,Premier League,Wolverhampton Wanderers,0,2020,Midfield
1797,Davide Frattesi,Central Midfield,20,5000000,Italy,Serie A,US Sassuolo,Italy,Others,AC Monza,0,2020,Midfield
1798,Nicola Murru,Left-Back,25,5000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Torino FC,0,2020,Defense
1799,Marko Pjaca,Left Winger,25,5000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,0,2020,Attack
1800,Diego Godín,Centre-Back,34,5000000,Italy,Serie A,Inter Milan,Italy,Serie A,Cagliari Calcio,0,2020,Defense
1801,Antonio Candreva,Right Midfield,33,5000000,Italy,Serie A,Inter Milan,Italy,Serie A,UC Sampdoria,0,2020,Midfield
1802,Vincent Aboubakar,Centre-Forward,28,5000000,Portugal,Others,FC Porto,Turkey,Others,Besiktas JK,0,2020,Attack
1803,Gianluca Scamacca,Centre-Forward,21,5000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Genoa CFC,0,2020,Attack
1804,Álex Centelles,Left-Back,21,5000000,Spain,LaLiga,Valencia CF,Spain,Others,UD Almería,0,2020,Defense
